"","total_CDS","total_duration_hrs","total_AWC","AWC_hr","CDS_hr"
"1",5437.25,10.132,10546.5,1040.90998815634,536.641334386103
"2",2244,3.08283333333333,2599,843.055630642807,727.901821917068
"3",1204.75,6.71166666666667,1469.5,218.947107027564,179.50086913335
"4",10910.375,13.1643333333333,11167.75,848.333881953764,828.782948877016
"5",1539,4.22916666666667,4707,1112.98522167488,363.901477832512
"6",11377.25,12.0375,14866.5,1235.01557632399,945.15057113188
"7",2504.125,10.5653333333333,14412.25,1364.10745835437,237.013345532559
"8",9401.5,8.11283333333333,11498,1417.26071861454,1158.84298539351
"9",791,6.926,3008,434.305515449033,114.207334680912
"10",4537.75,6.71916666666667,7103.5,1057.19955351606,675.344164702964
"11",1440,3.33416666666667,1459,437.590602349413,431.892026993252
"12",4868.5,9.16316666666667,6944,757.816620891613,531.311955473908
"13",4239.125,5.04116666666667,7027.25,1393.97295599564,840.901577015902
"14",5078.25,10.0468333333333,10966.5,1091.53796386921,505.457772764221
"15",2787,4.42466666666667,3478,786.047913213801,629.877956908242
"16",10116,11.1796666666667,13101,1171.85962610692,904.85703211187
"17",253,4.16916666666667,787,188.766739956026,60.6835898460923
"18",1783.625,4.77916666666667,3192.25,667.951176983435,373.208369659983
"19",2256.5,6.2435,9851,1577.80091294947,361.415872507408
"20",7791.125,6.98116666666667,8626.25,1235.64590445723,1116.02048368229
"21",388.625,5.7,3121.25,547.587719298246,68.1798245614035
"22",1146,5.53333333333333,3073,555.361445783133,207.10843373494
"23",14116.75,8.5805,14334.5,1670.59029194103,1645.2129829264
"24",16906.25,12.327,18911.5,1534.15267299424,1371.48130120873
"25",4084.5,10.6193333333333,8217,773.777387155503,384.628664699604
"26",2267,8.67866666666667,4802,553.310800430174,261.215240436319
"27",8747,10.5145,9456,899.329497360788,831.898806410195
"28",5645.75,8.52816666666667,16604.5,1947.01870273017,662.012155797455
"29",3404.5,9.759,7769,796.085664514807,348.857464904191
"30",6995.75,7.1415,7299.5,1022.12420359868,979.59112231324
"31",456.75,7.5575,4597.5,608.336089976844,60.4366523321204
"32",328,4.94516666666667,2291,463.280644400256,66.3273903811803
"33",6366.75,8.06916666666667,8937.5,1107.61127749664,789.021997314882
"34",2448.75,6.035,5936.5,983.678541839271,405.758077879039
"35",12954.75,7.492,15138.5,2020.62199679658,1729.14442071543
"36",5849.25,7.12116666666667,6208.5,871.837479813701,821.389285463524
"37",6076.5,10.525,10665,1013.30166270784,577.339667458432
"38",10259.5,7.50683333333333,17116,2280.05594902422,1366.68812859395
"39",5778.75,13.3903333333333,14400.5,1075.43999402554,431.561325334196
"40",21977,9.15416666666667,24131,2636.06736458807,2400.76467910787
"41",11921,8.9025,13579,1525.30188149396,1339.06206121876
"42",10266,6.96166666666667,11594,1665.40579363179,1474.64687574814
"43",2590.75,8.193,6237.5,761.320639570365,316.215061637984
"44",18470.25,9.96133333333333,26725.5,2682.92397269442,1854.19455226877
"45",9743.25,11.2996666666667,13757.5,1217.51379096729,862.259948671052
"46",6420.75,7.7245,10911.5,1412.58333872743,831.218849116448
"47",6745.75,8.26883333333333,10246.5,1239.17118497168,815.804325479209
"48",14298.5,9.0015,17597,1954.89640615453,1588.457479309
"49",6864.75,9.80383333333333,7721.5,787.600088400796,700.210801897217
"50",20760.25,9.30466666666667,21652.5,2327.05810704306,2231.1653650498
"51",5860,10.2033333333333,7909,775.138843515191,574.322116955243
"52",5511,10.9876666666667,13088,1191.15371780481,501.562357795104
"53",3463.5,6.6255,8962,1352.65262999019,522.752999773602
"54",10960,8.643,14766,1708.4345713294,1268.07821358325
"55",16377.25,10.2978333333333,20022.5,1944.34104261414,1590.35881334261
"56",4322,7.80383333333333,5970,765.008649595284,553.830382504325
"57",3216,3.33333333333333,9341,2802.3,964.8
"58",2422,1.83333333333333,3393,1850.72727272727,1321.09090909091
"59",3929,2.6295,9180,3491.15801483172,1494.20041833048
"60",994,5.793,6717,1159.50284826515,171.586397376144
"61",3403,1.16666666666667,3872,3318.85714285714,2916.85714285714
"62",1907,1.16666666666667,2249,1927.71428571429,1634.57142857143
"63",6183,2.5,14838,5935.2,2473.2
"64",1034,2,2363,1181.5,517
"65",1787,2.833,4826,1703.49452876809,630.780091775503
"66",917,2.05883333333333,2528,1227.87986723873,445.397879057719
"67",4309,1.78716666666667,7447,4166.93089620442,2411.07898908887
"68",2762,2.16666666666667,6857,3164.76923076923,1274.76923076923
"69",2663,1.33333333333333,3386,2539.5,1997.25
"70",1844,3.1225,7349,2353.56285028022,590.552441953563
"71",2109,1,2109,2109,2109
"72",5718,1.66666666666667,8775,5265,3430.8
"73",3531,1.66633333333333,5320,3192.63852770554,2119.02380476095
"74",4355,1.8195,4937,2713.38279747183,2393.51470184116
"75",2345,3,5854,1951.33333333333,781.666666666667
"76",3333,2.66666666666667,8807,3302.625,1249.875
"77",2038,2.63083333333333,4404,1673.99429838454,774.659486854609
"78",4489,1.33333333333333,5709,4281.75,3366.75
"79",3887,2.5,7040,2816,1554.8
"80",2382,2.48083333333333,4459,1797.37991266376,960.161236143769
"81",437,9.83333333333333,10392,1056.81355932203,44.4406779661017
"82",5219,1.16666666666667,5965,5112.85714285714,4473.42857142857
"83",2061,3.83333333333333,8234,2148,537.652173913043
"84",5161,1.66666666666667,7327,4396.2,3096.6
"85",3356,1,3356,3356,3356
"86",2391,1.66666666666667,4207,2524.2,1434.6
"87",1743,1.66666666666667,4413,2647.8,1045.8
"88",4380,1.16666666666667,4874,4177.71428571429,3754.28571428571
"89",2881,1.8305,5069,2769.1887462442,1573.88691614313
"90",4108,1,4108,4108,4108
"91",1847,5.04583333333333,9858,1953.691164327,366.044591246903
"92",2257,2.83333333333333,7886,2783.29411764706,796.588235294118
"93",3505,1.16666666666667,3505,3004.28571428571,3004.28571428571
"94",3058,1.16666666666667,3718,3186.85714285714,2621.14285714286
"95",1885,1.66666666666667,3506,2103.6,1131
"96",220,2.93,5584,1905.80204778157,75.0853242320819
"97",2883,4.4485,18220,4095.76261661234,648.08362369338
"98",1656,2.99616666666667,7292,2433.77649218446,552.706235745675
"99",3546,1.66666666666667,6595,3957,2127.6
"100",7374,1.66666666666667,11356,6813.6,4424.4
"101",1121,1.16666666666667,1598,1369.71428571429,960.857142857143
"102",7474.25,6.29577777778333,15452.5,2454.42271716278,1187.18453284283
"103",8181,10.3811111111333,14970,1442.04217060593,788.065931711895
"104",4526.5,9.80944444445,16055,1636.68799909292,461.443053746128
"105",1057,2.147,3132,1458.77969259432,492.314857941314
"106",1928.75,10.3396666666667,11098.5,1073.39050259518,186.538895515652
"107",6340.75,7.96805555555,13524.5,1697.34007321018,795.771309047095
"108",4344.75,8.44416666666667,9355.5,1107.92460278299,514.526793644528
